reaction_names,bridging_centrality,betweenness_centrality,clustering_coefficient,degree_log10,is_essential
2AGPEAT120,0.0,0.0,0.0,0.7781512503836436,False
APH120,0.9985546190308024,1.088515772083531,0.16666666666666666,0.6020599913279624,False
FA120ACPHi,2.398680609368642,3.2985464721306643,0.13333333333333333,1.2304489213782739,False
FACOAE120,2.308937020077366,3.7173938184883224,0.5278195488721804,1.568201724066995,False
LPLIPAL2A120,0.0,0.0,0.04433497536945813,1.462397997898956,False
LPLIPAL2E120,0.0,0.0,0.0,0.6020599913279624,False
LPLIPAL2G120,0.0,0.0,0.0,0.6020599913279624,False
2AGPGAT120,2.7113886672699095,3.438387395206172,0.0,0.9030899869919435,False
AACPS7,2.746783801186344,4.052979694271676,0.055213148433487416,1.7993405494535817,False
ACPPAT120,2.490391526519989,3.409207708055775,0.14074074074074075,1.2304489213782739,False
AACPS1,2.86099299080191,4.251231572428459,0.054504728720756596,1.806179973983887,False
AACPS2,2.9078188043460935,4.119233076969291,0.05593849416755037,1.792391689498254,False
AACPS3,2.8208050781038323,4.03221935072703,0.05593849416755037,1.792391689498254,False
AACPS4,2.8566765890509083,4.16287248213624,0.055213148433487416,1.7993405494535817,False
AACPS5,3.07634722816531,4.015232372526548,0.057724957555178265,1.7781512503836436,False
AACPS6,3.021508015777351,3.9603931601385893,0.057724957555178265,1.7781512503836436,False
AACPS8,2.435647610098166,3.274620097478361,0.06372218476062036,1.7403626894942439,False
AACPS9,2.917495221162723,3.9300843484707433,0.062459336369551074,1.7481880270062005,False
ACOATA,2.7555221651036472,4.934096210361369,0.24455089820359283,2.2013971243204513,False
EAR120x,2.688846677610522,3.040800061256529,0.023809523809523808,0.8450980400142568,False
EAR120y,2.688846677610522,3.040800061256529,0.023809523809523808,0.8450980400142568,False
MCOATA,2.6764857009264533,5.141620997057532,0.19876480967985882,2.1903316981702914,True
UAGAAT,2.550878828592189,4.5699263299040975,0.1517346549752192,1.863322860120456,True
3OXCOAT,1.8473118344045236,3.6639679436141197,0.5109985528219971,1.9242792860618816,False
ACACT1r,1.5854561448716358,3.549194021642147,0.539267548321465,2.0,False
ACACT2r,2.0137504998596514,4.01737513868059,0.5181818181818182,2.0086001717619175,False
ACACT3r,1.991917939036923,4.011710869626936,0.5139953987730062,2.012837224705172,False
ACACT4r,2.0443774552115115,4.060036543396564,0.5192570869990225,2.0086001717619175,False
ACACT5r,2.0092738658017106,4.025271942782661,0.5192570869990225,2.0086001717619175,False
ACACT6r,2.120975353923036,4.1363135333169385,0.5192570869990225,2.0086001717619175,False
ACACT7r,2.1768558169590753,4.19191109439333,0.5192570869990225,2.0086001717619175,False
ACACT8r,2.1968810286707248,4.211936306104979,0.5192570869990225,2.0086001717619175,False
ACALD,2.380044141662351,4.410575529429406,0.46161211699164345,2.03342375548695,False
ACCOAL,2.8897580671139194,3.5682764461540333,0.3876363636363636,1.724275869600789,False
ACOAD5f,2.234854147255382,3.9101608905217757,0.6014234875444839,1.7323937598229686,False
ACPS1,2.791379251234642,4.276055645870214,0.34445701357466063,1.7781512503836436,False
ACS,2.549285729810679,4.199990831873185,0.4237392373923739,1.9590413923210936,False
AKGDH,2.3571226359357755,3.6503014524990016,0.3054089709762533,1.8325089127062364,False
CRNCAL2,2.0599283635308923,3.4608978427565478,0.3782703488372093,1.724275869600789,False
CRNDCAL2,1.9837765880368854,2.761927838420529,0.4499113475177305,1.6812412373755872,False
CTBTCAL2,2.011805311637129,3.0629578340845103,0.41625816993464054,1.6989700043360187,False
GLCATr,2.6352442887213368,4.604146180943322,0.4161073825503356,2.0569048513364727,False
GLYAT,2.321574981573502,4.531382754414601,0.42379211697393515,2.0530784434834195,False
MALTATr,2.3378411978595137,4.3777654412475835,0.515240328253224,2.0086001717619175,False
OBTFL,2.5152700594318342,3.8291121811514643,0.35704652730950776,1.7403626894942439,False
OXDHCOAT,2.0937597135098227,3.9132994440621265,0.528088094478136,1.9030899869919435,False
PACCOAL,2.269512944217916,3.6586790285824486,0.43154761904761907,1.6901960800285136,False
PDH,2.45232224006446,4.193203972476055,0.29148489255130067,2.0492180226701815,False
PFL,2.4150892350613864,4.369511064543228,0.2717898539816348,2.0644579892269186,False
POR5,2.774378417279829,5.192104764251841,0.2604289318755256,2.1903316981702914,False
PTAr,1.277100903391233,3.1684126532413446,0.5467095702719535,1.99563519459755,False
SERAT,2.47703523838963,4.841392083543648,0.38818897637795274,2.0755469613925306,True
SUCBZL,2.259429359789531,3.6485954441540636,0.43197278911564624,1.6901960800285136,False
SUCOAS,2.673147271434793,4.550865419787459,0.3985276561878233,2.0043213737826426,False
APG3PAT120,2.774031451818164,2.6993978335212603,0.058333333333333334,1.2041199826559248,False
APG3PAT140,2.77403944469419,2.699405826397286,0.058333333333333334,1.2041199826559248,False
APG3PAT141,2.774022251085916,2.6993886327890118,0.058333333333333334,1.2041199826559248,False
APG3PAT160,2.774022251085916,2.6993886327890118,0.058333333333333334,1.2041199826559248,False
APG3PAT161,2.774031451818164,2.6993978335212603,0.058333333333333334,1.2041199826559248,False
APG3PAT180,2.773998935295756,2.699365316998852,0.058333333333333334,1.2041199826559248,False
APG3PAT181,2.7751941052948257,2.7005604869979214,0.058333333333333334,1.2041199826559248,False
G3PAT120,2.9709752229995807,3.806169440397722,0.08640552995391705,1.4771212547196624,False
G3PAT140,2.9517213218265144,3.7869155392246556,0.08640552995391705,1.4771212547196624,False
G3PAT141,2.9841230542253423,3.8193172716234836,0.08640552995391705,1.4771212547196624,False
G3PAT160,2.9841230542253423,3.8193172716234836,0.08640552995391705,1.4771212547196624,False
G3PAT161,2.970004238648984,3.805198456047125,0.08640552995391705,1.4771212547196624,False
G3PAT180,3.0326082632870683,3.8678024806852096,0.08640552995391705,1.4771212547196624,False
G3PAT181,3.031361044858154,3.8665552622562953,0.08640552995391705,1.4771212547196624,False
G3PD2,2.710489288151288,4.644728351592092,0.19856303069888961,1.7481880270062005,True
G3PD5,2.771592282432649,3.759930175927285,0.16275167785234898,1.3979400086720377,False
G3PD6,2.762555126007513,4.051579904690436,0.09291187739463602,1.5185139398778875,False
G3PD7,2.643929451149744,3.9662017873886355,0.11252900232018562,1.4771212547196624,False
G3PT,2.599734819246395,3.432243731952631,0.07777777777777778,1.2304489213782739,False
PGSA120,2.855963825616921,3.759747999427366,0.04678362573099415,1.2787536009528289,False
PGSA140,2.853510846903447,3.757295020713892,0.04678362573099415,1.2787536009528289,False
PGSA141,2.8783457145625917,3.782129888373037,0.04678362573099415,1.2787536009528289,False
PGSA160,2.8564242423269155,3.760208416137361,0.04678362573099415,1.2787536009528289,False
PGSA161,2.9841108254853914,3.7922856137361114,0.04678362573099415,1.2787536009528289,False
PGSA180,2.905870208582744,3.809654382393189,0.04678362573099415,1.2787536009528289,False
PGSA181,3.019442336943543,3.8276171251942626,0.04678362573099415,1.2787536009528289,False
GPDDA2,2.628403862162434,4.393344966637881,0.01707317073170732,1.6127838567197355,False
GPDDA4,2.5860578345530563,4.428926394958098,0.032668881506090805,1.6334684555795864,False
LPLIPAL2ATE120,4.439081272452673,3.3034186704526,0.0,0.47712125471966244,False
LPLIPAL2ATG120,4.504739970981005,3.348392770121081,0.0,0.47712125471966244,False
3OAS100,2.8058631066239927,3.8658994098583137,0.1865671641791045,1.2304489213782739,False
3OAS120,2.792608349507226,3.8526446527415463,0.1865671641791045,1.2304489213782739,False
3OAS121,2.7820368093364496,3.787715450248178,0.22115384615384615,1.1760912590556813,False
3OAS140,2.2700022718655686,3.0749928239434814,0.19402985074626866,1.2304489213782739,True
3OAS141,2.920052327221257,3.9537596917332287,0.19327731092436976,1.2041199826559248,False
3OAS160,2.6685696802394765,3.7286059834737975,0.1865671641791045,1.2304489213782739,False
3OAS161,2.7054363406225326,3.7654726438568535,0.1865671641791045,1.2304489213782739,False
3OAS180,2.7054363406225326,3.7654726438568535,0.1865671641791045,1.2304489213782739,False
3OAS181,2.6894183207884526,3.7494546240227735,0.1865671641791045,1.2304489213782739,False
3OAS60,2.920052327221257,3.9537596917332287,0.19327731092436976,1.2041199826559248,False
3OAS80,2.920052327221257,3.9537596917332287,0.19327731092436976,1.2041199826559248,False
ACPPAT140,2.440685887695075,3.359502069230861,0.14074074074074075,1.2304489213782739,False
ACPPAT141,2.5208293784993816,3.4396455600351676,0.14074074074074075,1.2304489213782739,False
ACPPAT160,2.522487933816322,3.441304115352108,0.14074074074074075,1.2304489213782739,False
ACPPAT161,2.4861828586707584,3.4049990402065444,0.14074074074074075,1.2304489213782739,False
ACPPAT180,2.765797954142739,3.684614135678525,0.14074074074074075,1.2304489213782739,False
ACPPAT181,2.869584162796112,3.788400344331898,0.14074074074074075,1.2304489213782739,False
AGPAT120,2.7472045782373145,3.7666689084847884,0.15588235294117647,1.2787536009528289,False
AGPAT140,2.718183702812551,3.737648033060025,0.15588235294117647,1.2787536009528289,False
AGPAT141,2.761211554459505,3.780675884706979,0.15588235294117647,1.2787536009528289,False
AGPAT160,2.762929173255516,3.78239350350299,0.15588235294117647,1.2787536009528289,True
AGPAT161,2.7437543087517002,3.763218638999174,0.15588235294117647,1.2787536009528289,True
AGPAT180,2.818992517378381,3.838456847625855,0.15588235294117647,1.2787536009528289,False
AGPAT181,2.815835766169162,3.835300096416636,0.15588235294117647,1.2787536009528289,False
AOXSr2,3.830990553499538,4.506242638404952,0.12142857142857143,1.3222192947339193,True
EDTXS1,2.8489783067168264,3.4491336562369628,0.18518518518518517,1.2304489213782739,False
EDTXS2,2.818522785846397,3.755496851476599,0.18518518518518517,1.2304489213782739,False
EDTXS3,2.81683614900855,3.423754246724346,0.18518518518518517,1.2304489213782739,False
EDTXS4,2.422216022013824,2.870466954845675,0.21008403361344538,1.2041199826559248,False
FA100ACPHi,2.97974555635698,3.399967765588587,0.17307692307692307,1.1760912590556813,False
FA140ACPHi,2.328927847389849,3.2287937101518716,0.13333333333333333,1.2304489213782739,False
FA141ACPHi,2.765356125448093,3.6652219882101154,0.13333333333333333,1.2304489213782739,False
FA160ACPHi,2.4402235193773074,3.34008938213933,0.13333333333333333,1.2304489213782739,False
FA161ACPHi,2.8192115386023513,3.6825318006181043,0.13333333333333333,1.2304489213782739,False
FA80ACPHi,2.352516293829854,3.263161420737706,0.15126050420168066,1.2041199826559248,False
KAS14,1.894013802008983,2.8046589289168358,0.2754237288135593,1.2041199826559248,False
LIPOCT,3.3107033390545095,3.867856111881929,0.15126050420168066,1.2041199826559248,False
OPMEACPS,2.8916734934325845,3.897352134344313,0.22115384615384615,1.1760912590556813,True
U23GAAT,2.672812166340196,3.657837280095793,0.1962962962962963,1.2304489213782739,True
APH140,0.998904997816974,1.088515772083531,0.16666666666666666,0.6020599913279624,False
FACOAE140,2.3273436713305693,3.735644842175599,0.5278195488721804,1.568201724066995,False
LPLIPAL2A140,0.0,0.0,0.04433497536945813,1.462397997898956,False
LPLIPAL2E140,0.0,0.0,0.0,0.6020599913279624,False
LPLIPAL2G140,0.0,0.0,0.0,0.6020599913279624,False
APH141,0.9981932339615592,1.088515772083531,0.16666666666666666,0.6020599913279624,False
FACOAE141,1.7227118635641627,3.119430028010844,0.5119047619047619,1.5563025007672873,False
LPLIPAL2A141,0.0,0.0,0.04433497536945813,1.462397997898956,False
LPLIPAL2E141,0.0,0.0,0.0,0.6020599913279624,False
LPLIPAL2G141,0.0,0.0,0.0,0.6020599913279624,False
APH160,0.9981932339615592,1.088515772083531,0.16666666666666666,0.6020599913279624,False
FACOAE160,2.302903636791035,3.711521024537424,0.5278195488721804,1.568201724066995,False
LPLIPAL2A160,0.0,0.0,0.04433497536945813,1.462397997898956,False
LPLIPAL2E160,0.0,0.0,0.0,0.6020599913279624,False
LPLIPAL2G160,0.0,0.0,0.0,0.6020599913279624,False
APH161,1.1209729155994637,1.1541412788521184,0.16666666666666666,0.6020599913279624,False
FACOAE161,1.7527445570107412,3.1249825936482294,0.5119047619047619,1.5563025007672873,False
LPLIPAL2A161,0.0,0.0,0.04433497536945813,1.462397997898956,False
LPLIPAL2E161,0.0,0.0,0.0,0.6020599913279624,False
LPLIPAL2G161,0.0,0.0,0.0,0.6020599913279624,False
APH181,3.331974174881857,3.4230546442291896,0.16666666666666666,0.6020599913279624,False
FACOAE181,1.807946643970058,3.2050018528590822,0.5119047619047619,1.5563025007672873,False
LPLIPAL2A181,0.0,0.0,0.04433497536945813,1.462397997898956,False
LPLIPAL2E181,0.0,0.0,0.0,0.6020599913279624,False
LPLIPAL2G181,0.0,0.0,0.0,0.6020599913279624,False
APH180,2.9587658626385966,3.116553510861828,0.16666666666666666,0.6020599913279624,False
FACOAE180,2.1345381470769555,3.562542889680671,0.5119047619047619,1.5563025007672873,False
LPLIPAL2A180,0.0,0.0,0.04433497536945813,1.462397997898956,False
LPLIPAL2E180,0.0,0.0,0.0,0.6020599913279624,False
LPLIPAL2G180,0.0,0.0,0.0,0.6020599913279624,False
FACOAE100,1.8998775658147413,3.0491208434846624,0.5909090909090909,1.5440680443502757,False
FACOAE80,1.9161753298572848,3.3392896798657765,0.5580286168521462,1.5563025007672873,False
ACACCT,1.8869831792487184,2.7437961383323226,0.8087248322147651,1.3979400086720377,False
ACANTHAT,1.1612906843726074,2.4788040803576887,0.7333333333333333,1.7323937598229686,False
ACCOAC,2.7617032944754603,3.380257463664981,0.7934782608695652,1.380211241711606,True
ACGS,2.797534287625214,4.6737481317163825,0.3513665821358129,1.9294189257142926,True
AST,2.078074162475625,3.6046526774693106,0.5407142857142857,1.5797835966168101,False
BUTCT,3.091482846334731,3.5316723961307317,0.7461300309597523,1.414973347970818,False
CS,2.4400287173449753,4.0539286939496755,0.526579739217653,1.806179973983887,True
DHNCOAT,2.3650134619903884,3.6379311066721463,0.5730837789661319,1.5314789170422551,False
DPCOAK,2.4458338712181718,3.549467447258172,0.6079545454545454,1.5185139398778875,True
FACOAE60,1.9409526233691163,3.12229454047078,0.5979299363057324,1.5563025007672873,False
G1PACT,1.966061846619301,3.4286921840640043,0.7042349726775956,1.7403626894942439,True
HSST,2.319486943766691,3.606583249232243,0.5428571428571428,1.5797835966168101,True
HXCT,2.8661851355888133,3.422457272071554,0.7672413793103449,1.4313637641589874,False
IPPS,2.2049546097264257,3.8169727051188165,0.6587301587301587,1.7558748556724915,True
KAS15,2.028221657067166,3.6247275862813093,0.734107997265892,1.7403626894942439,False
MACPD,0.0,0.0,1.0,0.47712125471966244,False
MALS,2.8331745526194494,4.518046430950454,0.4936440677966102,1.8195439355418688,False
MCITS,2.4312259579686017,4.031233390120821,0.3582995951417004,1.6532125137753437,False
O16AT,2.2568214444118238,3.684529480644281,0.7312056737588652,1.7323937598229686,False
OGMEACPS,2.4575465211198955,3.9484094838470467,0.5833333333333334,1.5440680443502757,True
PTA2,2.1916867237907454,3.5505561771976035,0.5414012738853503,1.5563025007672873,False
SPMDAT1,2.4435536805163593,3.7690360061727164,0.7042349726775956,1.7403626894942439,False
SPMDAT2,2.4435536805163593,3.7690360061727164,0.7042349726775956,1.7403626894942439,False
TDPADGAT,2.2508152927757177,3.7937449349095322,0.7045765027322405,1.7403626894942439,False
THDPS,2.4544500585414846,3.6356456556741956,0.5421428571428571,1.5797835966168101,True
3HAD120,3.5991914332571953,3.532244643626582,0.0,0.47712125471966244,False
MALCOAMT,4.391533220931528,4.111170849221421,0.13333333333333333,0.7781512503836436,True
3HAD140,3.3659077727380144,3.3659077727380144,0.16666666666666666,0.6020599913279624,False
3OAR140,0.8906401429756691,1.0981697064042955,0.4444444444444444,0.6989700043360189,True
ACGAMT,3.7162652714642768,4.001379126931204,0.14285714285714285,0.8450980400142568,False
UAG2E,2.2718579749865015,3.0622058088197126,0.275,0.8450980400142568,False
UAGCVT,3.3918625558644653,3.6928925515284465,0.17857142857142858,0.9030899869919435,True
UAGDP,3.2310751482857563,3.7958465677594404,0.21428571428571427,0.8450980400142568,True
UAGPT3,2.978242775014007,4.059925855317818,0.13333333333333333,1.0,True
UHGADA,1.8048086561297656,1.5419351380745911,0.25,0.6020599913279624,True
HADPCOADH3,3.0261527186014883,3.041392685158225,0.0,0.47712125471966244,False
MMM,2.965552367748717,3.0624623807567732,0.35,0.6989700043360189,False
HACD1,2.7559066620571193,2.8698500143639563,0.25,0.6989700043360189,False
ACOAD1f,2.268214562726135,3.9299240748121687,0.6014234875444839,1.7323937598229686,False
HACD2,2.744246670729606,2.760952364232459,0.0,0.6020599913279624,False
ACOAD2f,2.2795299779499905,3.9632968464365983,0.5812200137080192,1.7403626894942439,False
HACD3,2.809056126467429,2.8256026794474662,0.0,0.6020599913279624,False
ACOAD3f,2.1935721002248636,3.869250533805934,0.6014234875444839,1.7323937598229686,False
HACD4,2.809351784615438,2.8260574781182903,0.0,0.6020599913279624,False
ACOAD4f,2.1839240970004514,3.8599951147531506,0.6014234875444839,1.7323937598229686,False
HACD5,2.8070725659394187,2.8237782594422716,0.0,0.6020599913279624,False
HACD6,2.9517863742962938,2.8005186989656448,0.0,0.6020599913279624,False
ACOAD6f,2.303654032888404,4.049295358295894,0.5611368142762723,1.7481880270062005,False
HACD7,2.952556088862707,2.801288413532058,0.0,0.6020599913279624,False
ACOAD7f,2.2922568586165286,4.037898184024019,0.5611368142762723,1.7481880270062005,False
HACD8,3.2857601959462226,3.1344925206155736,0.0,0.6020599913279624,False
ALCD2x,0.0,0.0,0.2962962962962963,1.0413926851582251,False
ALDD2x,1.9906185958770586,1.9221844949232791,0.17272727272727273,1.0413926851582251,False
ALDD2y,1.9906185958770586,1.9221844949232791,0.17272727272727273,1.0413926851582251,False
CPH4S,2.5668598681188324,3.7208158058710996,0.14545454545454545,1.0413926851582251,False
DRPA,3.5071206490504436,4.413904351736296,0.4142857142857143,1.1760912590556813,False
ETHAAL,2.6835915189239747,2.8327898896516643,0.3,0.6989700043360189,False
FDMO3,2.3081502423912252,3.008437469859698,0.06976744186046512,1.0,False
HOPNTAL,2.053288045999926,3.0927935895407397,0.29473684210526313,1.3010299956639813,False
THRA2i,1.1882107189848272,2.010918166166189,0.23636363636363636,1.0413926851582251,False
THRAi,2.4000307158426497,3.2227381630240113,0.21818181818181817,1.0413926851582251,False
ALDD3y,0.0,0.0,0.5,0.3010299956639812,False
PPAKr,0.0,0.0,0.4166666666666667,0.6020599913279624,False
PPCSCT,2.1860735343458924,3.3304268673280686,0.12751677852348994,1.3979400086720377,False
ACOAD8f,2.1946682961137247,3.9202506971431865,0.602846975088968,1.7323937598229686,False
ARBTNR1,1.4466069149081584,2.5829732540822152,0.7439293598233996,1.4913616938342726,False
CPGNR1,1.4466069149081584,2.5829732540822152,0.7439293598233996,1.4913616938342726,False
DAAD,2.7979313292854924,4.509003921809945,0.3198154443904808,1.8129133566428555,False
ECOAH5,1.8238189876858497,1.8548532214258184,0.0,0.6020599913279624,False
FADRx,0.8443574398408443,2.1982662420715613,0.6802721088435374,1.6334684555795864,False
FADRx2,0.8443574398408443,2.1982662420715613,0.6802721088435374,1.6334684555795864,False
FE3HOXR1,1.4466069149081584,2.5829732540822152,0.7439293598233996,1.4913616938342726,False
FE3Ri,2.539093455021505,3.7281661447115653,0.58147512864494,1.5440680443502757,False
FECRMR1,1.4466069149081584,2.5829732540822152,0.7439293598233996,1.4913616938342726,False
FEENTERR1,2.2482401705191566,3.5606376969077145,0.6962809917355371,1.505149978319906,False
FEOXAMR1,1.4466069149081584,2.5829732540822152,0.7439293598233996,1.4913616938342726,False
FMNAT,3.1474895769031894,3.888789082821255,0.21739130434782608,1.380211241711606,True
I2FE2SS,2.5228776271758524,3.923157620606473,0.3670520231213873,1.6989700043360187,False
I2FE2SS2,2.593179543507827,3.789548588595311,0.4041272570937231,1.6901960800285136,False
I4FE4SR,2.1273821348667137,3.140410460093288,0.8434504792332268,1.414973347970818,False
PROD2,2.365257176615063,3.947873461621238,0.56657223796034,1.6720978579357175,False
S2FE2SS,2.454169849371041,3.8664088799160456,0.3670520231213873,1.6989700043360187,False
S2FE2SS2,2.4890386645256197,3.704006885494286,0.4041272570937231,1.6901960800285136,False
S4FE4SR,2.1242274918728183,3.137255817099393,0.8434504792332268,1.414973347970818,False
BPNT,0.0,0.0,0.0,0.47712125471966244,True
ACKr,2.4006537104490677,1.9008219835389346,0.1201923076923077,1.1760912590556813,False
ACODA,3.063921354737368,3.3678251863243744,0.1,0.6989700043360189,True
AGDC,3.303861747069155,3.808016321602617,0.10714285714285714,0.9030899869919435,False
CITL,2.8986484800674517,3.4197698808157724,0.26851851851851855,1.0413926851582251,False
CYSS,3.209005154365495,4.329460918842216,0.01948051948051948,1.1139433523068367,True
NACODA,2.9630397579930756,3.1774274601917303,0.15,0.6989700043360189,False
POX,3.1802315185549452,3.8361927407584395,0.17027027027027028,1.591064607026499,False
ACOTA,1.996716039707366,3.966659851793945,0.474937343358396,1.845098040014257,True
ALATA_L,2.8225328874885385,5.033230494957589,0.21555827553379572,2.0863598306747484,False
ASPTA,2.418882420165298,4.852864790224309,0.26962081128747795,1.9822712330395684,True
GLUDy,1.3182155992882554,2.9716598871398086,0.5345882352941177,1.8195439355418688,True
HSTPT,2.054456507129324,3.717633948928722,0.5015255530129672,1.7160033436347992,True
ICDHyr,2.4983342616059705,3.8331858378617345,0.7313915857605178,1.5563025007672873,True
ILETA,1.672849957061185,3.7313469256285825,0.5031000885739593,1.8325089127062364,True
LEUTAi,1.9349003684228376,3.792500995859324,0.5011441647597255,1.7160033436347992,True
OHPBAT,1.571873509985847,3.7391318219382192,0.47451963241436923,1.845098040014257,True
PHETA1,1.5087916315014616,3.567288600068859,0.5031000885739593,1.8325089127062364,True
PSERT,2.4902272461466213,3.8539010692186837,0.5011441647597255,1.7160033436347992,False
SDPTA,2.011149842555912,3.7727170417246234,0.5035429583702391,1.8325089127062364,True
TDPAGTA,2.5088221915177225,3.83083298874556,0.5015255530129672,1.7160033436347992,False
TYRTA,1.9010032911862016,3.993663206361924,0.4883920894239037,1.8388490907372552,True
UDPKAAT,2.016851472955892,3.733567109738512,0.5031000885739593,1.8325089127062364,False
VALTA,1.6487685994785148,3.6178798556242544,0.4526627218934911,1.8573324964312685,False
CRNBTCT,-0.2938696200673589,0.17609125905568124,0.8333333333333334,0.9030899869919435,False
CRNCAR,0.2518119729937996,0.6989700043360189,0.68,0.9030899869919435,False
CRNCBCT,0.3125571565741178,0.9294189257142927,0.55,1.0,False
CRNCDH,-0.4471580313422192,0.0,0.76,0.9030899869919435,False
AMALT1,3.1218344427727867,3.632595166826908,0.38571428571428573,0.9542425094393249,False
AMALT2,3.124371160845855,3.776683051507758,0.359375,1.0791812460476249,False
AMALT3,3.130847200625087,3.8086840072962334,0.3684210526315789,1.1139433523068367,False
AMALT4,3.1680283470616226,3.671008367424991,0.328125,1.0791812460476249,False
G6PP,3.618930102060948,3.6783008383050197,0.39814814814814814,1.0413926851582251,False
GALS3,0.0,0.0,0.3333333333333333,0.6020599913279624,False
HEX1,3.2459199812831265,4.145134309734348,0.18043478260869567,1.3424226808222062,False
LACZ,0.0,0.0,0.3333333333333333,0.6020599913279624,False
MLTG1,0.23954889946461716,0.8647153189478135,0.4166666666666667,0.9542425094393249,False
MLTG2,2.7959468746243554,3.212851801767337,0.4074074074074074,0.9030899869919435,False
MLTG3,2.407434717181543,2.963952931796339,0.4186046511627907,1.0,False
MLTG4,2.4998866175781145,3.1521985082400175,0.3828125,1.0791812460476249,False
MLTG5,2.1863262735114297,2.7044622373150644,0.45588235294117646,0.9542425094393249,False
TRE6PH,2.5084748617315604,3.1755841400874476,0.4318181818181818,1.0,False
TREH,3.421354642744416,3.041392685158225,0.3333333333333333,0.6020599913279624,False
XYLI2,3.0736351053328708,3.473845036928088,0.18253968253968253,1.3010299956639813,False
AMPTASECG,0.0,0.0,0.10897435897435898,1.1139433523068367,False
AMPTASEPG,0.0,0.0,0.2857142857142857,0.9030899869919435,False
AOBUTDs,3.1790191277987567,3.634951083448481,0.25,0.6989700043360189,False
